,zipcode,type,commoncity,county,areacode
172,85262,Standard,Scottsdale,Maricopa County,Area Code 480Area Code 602
173,85263,Standard,"Rio Verde, Scottsdale",Maricopa County,Area Code 480
174,85264,Standard,"Fort Mcdowell, Scottsdale",Maricopa County,Area Code 602
175,85266,Standard,Scottsdale,Maricopa County,Area Code 480Area Code 520Area Code 602Area Code 623Area Code 928
176,85267,PO Box,Scottsdale,Maricopa County,Area Code 480
177,85268,Standard,"Fountain Hills, Fountain Hls, Scottsdale",Maricopa County,Area Code 480
178,85269,PO Box,"Fountain Hills, Fountain Hls, Scottsdale",Maricopa County,Area Code 480
179,85271,PO Box,Scottsdale,Maricopa County,Area Code 480
180,85272,Standard,Stanfield,Pinal County,Area Code 520
181,85273,Standard,Superior,Pinal County,
182,85274,PO Box,Mesa,Maricopa County,Area Code 480
183,85275,PO Box,Mesa,Maricopa County,Area Code 480
184,85277,PO Box,Mesa,Maricopa County,Area Code 480
185,85278,Standard,"Apache Junction, Apache Jct",Pinal County,Area Code 480
186,85279,Standard,Florence,Pinal County,Area Code 520
187,85280,PO Box,Tempe,Maricopa County,Area Code 480
188,85281,Standard,Tempe,Maricopa County,Area Code 602
189,85282,Standard,Tempe,Maricopa County,Area Code 480Area Code 602
190,85283,Standard,"Tempe, Guadalupe",Maricopa County,Area Code 602Area Code 480
191,85284,Standard,Tempe,Maricopa County,Area Code 480Area Code 520
192,85285,PO Box,Tempe,Maricopa County,Area Code 480
193,85286,Standard,Chandler,Maricopa County,Area Code 480
194,85287,Unique,Tempe,Maricopa County,Area Code 480
195,85288,Standard,Tempe,Maricopa County,
196,85289,Unique,Tempe,Maricopa County,Area Code 480
197,85290,Standard,"Apache Junction, Apache Jct, Tortilla Flat",Maricopa County,
198,85291,PO Box,Valley Farms,Pinal County,Area Code 520
199,85292,Standard,"Winkelman, Dudleyville",Pinal County,
200,85293,Standard,Casa Grande,Pinal County,Area Code 520
201,85294,Standard,Casa Grande,Pinal County,Area Code 520
202,85295,Standard,Gilbert,Maricopa County,Area Code 480
203,85296,Standard,Gilbert,Maricopa County,Area Code 480
204,85297,Standard,Gilbert,Maricopa County,Area Code 480
205,85298,Standard,Gilbert,Maricopa County,Area Code 480
206,85299,PO Box,Gilbert,Maricopa County,Area Code 480
207,85301,Standard,Glendale,Maricopa County,Area Code 602
208,85302,Standard,Glendale,Maricopa County,Area Code 602Area Code 623
209,85303,Standard,Glendale,Maricopa County,Area Code 602
210,85304,Standard,Glendale,Maricopa County,Area Code 623
211,85305,Standard,Glendale,Maricopa County,Area Code 623
212,85306,Standard,Glendale,Maricopa County,Area Code 623
213,85307,Standard,"Glendale, Luke AFB",Maricopa County,Area Code 623
214,85308,Standard,Glendale,Maricopa County,Area Code 623
215,85309,PO Box,"Luke Air Force Base, Gbafaf, Glendale, Luke AFB",Maricopa County,Area Code 623
216,85310,Standard,Glendale,Maricopa County,Area Code 623Area Code 928
217,85311,PO Box,Glendale,Maricopa County,Area Code 623
218,85312,PO Box,Glendale,Maricopa County,Area Code 623
219,85313,Unique,"Glendale, Arizona State Univ West",Maricopa County,Area Code 623
220,85318,PO Box,Glendale,Maricopa County,Area Code 623
221,85320,PO Box,Aguila,Maricopa County,
222,85321,Standard,Ajo,Pima County,Area Code 520
223,85322,Standard,Arlington,Maricopa County,Area Code 623
224,85323,Standard,Avondale,Maricopa County,Area Code 623
225,85324,Standard,"Black Canyon City, Black Cyn Cty, Rock Springs",Yavapai County,Area Code 623
226,85325,PO Box,Bouse,La Paz County,Area Code 928
227,85326,Standard,Buckeye,Maricopa County,Area Code 623
228,85327,PO Box,Cave Creek,Maricopa County,Area Code 480
229,85328,Standard,Cibola,La Paz County,Area Code 928
230,85329,PO Box,Cashion,Maricopa County,
231,85331,Standard,Cave Creek,Maricopa County,Area Code 602Area Code 480
232,85332,PO Box,Congress,Yavapai County,Area Code 928
233,85333,Standard,Dateland,Yuma County,Area Code 928
234,85334,PO Box,Ehrenberg,La Paz County,Area Code 928
235,85335,Standard,El Mirage,Maricopa County,Area Code 623
236,85336,PO Box,"San Luis, Gadsden",Yuma County,Area Code 928
237,85337,Standard,Gila Bend,Maricopa County,Area Code 928
238,85338,Standard,Goodyear,Maricopa County,Area Code 623
239,85339,Standard,Laveen,Maricopa County,Area Code 520
240,85340,Standard,"Litchfield Park, Litchfield Pk",Maricopa County,Area Code 623
241,85341,PO Box,Lukeville,Pima County,Area Code 520
242,85342,Standard,Morristown,Maricopa County,Area Code 623
243,85343,PO Box,Palo Verde,Maricopa County,Area Code 623
244,85344,Standard,Parker,La Paz County,Area Code 928
245,85345,Standard,Peoria,Maricopa County,Area Code 623
246,85346,PO Box,Quartzsite,La Paz County,Area Code 928
247,85347,Standard,Roll,Yuma County,Area Code 928
248,85348,Standard,Salome,La Paz County,Area Code 928
249,85349,PO Box,San Luis,Yuma County,Area Code 928
250,85350,Standard,Somerton,Yuma County,Area Code 928
251,85351,Standard,Sun City,Maricopa County,Area Code 623
252,85352,PO Box,Tacna,Yuma County,Area Code 928
253,85353,Standard,Tolleson,Maricopa County,Area Code 520
254,85354,Standard,Tonopah,Maricopa County,Area Code 623Area Code 928
255,85355,Standard,Waddell,Maricopa County,Area Code 623
256,85356,Standard,Wellton,Yuma County,Area Code 928
257,85357,PO Box,Wenden,La Paz County,Area Code 928
258,85358,PO Box,Wickenburg,Maricopa County,Area Code 928
259,85359,PO Box,Quartzsite,La Paz County,Area Code 928
260,85360,PO Box,Wikieup,Mohave County,Area Code 928
261,85361,Standard,Wittmann,Maricopa County,
262,85362,PO Box,Yarnell,Yavapai County,Area Code 928
263,85363,Standard,Youngtown,Maricopa County,Area Code 623
264,85364,Standard,Yuma,Yuma County,Area Code 520Area Code 928
265,85365,Standard,"Yuma, Martinez Lake, Ypg, Yuma Proving Ground",Yuma County,Area Code 520Area Code 928
266,85366,PO Box,Yuma,Yuma County,Area Code 928
267,85367,Standard,Yuma,Yuma County,Area Code 520Area Code 928
268,85369,PO Box,Yuma,Yuma County,Area Code 928
269,85371,PO Box,Poston,La Paz County,Area Code 928
270,85372,PO Box,Sun City,Maricopa County,Area Code 623
271,85373,Standard,Sun City,Maricopa County,Area Code 623
272,85374,Standard,"Surprise, Sun City",Maricopa County,Area Code 623
273,85375,Standard,"Sun City West, Sun City",Maricopa County,Area Code 623
274,85376,PO Box,Sun City West,Maricopa County,
275,85377,PO Box,Carefree,Maricopa County,
276,85378,Standard,Surprise,Maricopa County,Area Code 623
277,85379,Standard,"Surprise, Sun City",Maricopa County,Area Code 623
278,85380,PO Box,Peoria,Maricopa County,Area Code 623
279,85381,Standard,Peoria,Maricopa County,Area Code 623
280,85382,Standard,Peoria,Maricopa County,Area Code 928Area Code 623
281,85383,Standard,Peoria,Maricopa County,Area Code 928
282,85385,PO Box,Peoria,Maricopa County,Area Code 623
283,85387,Standard,"Surprise, Sun City, Sun City West",Maricopa County,Area Code 623
284,85388,Standard,Surprise,Maricopa County,Area Code 623
285,85390,Standard,Wickenburg,Maricopa County,Area Code 928
286,85392,Standard,Avondale,Maricopa County,Area Code 623
287,85395,Standard,Goodyear,Maricopa County,Area Code 623
288,85396,Standard,Buckeye,Maricopa County,Area Code 623
289,85501,Standard,Globe,Gila County,Area Code 520Area Code 928
290,85502,PO Box,Globe,Gila County,Area Code 928
291,85530,PO Box,Bylas,Graham County,Area Code 928
292,85531,PO Box,Central,Graham County,Area Code 928
293,85532,PO Box,Claypool,Gila County,Area Code 928
294,85533,Standard,Clifton,Greenlee County,Area Code 928
295,85534,Standard,Duncan,Greenlee County,Area Code 928
296,85535,Standard,Eden,Graham County,Area Code 928
297,85536,PO Box,Fort Thomas,Graham County,Area Code 928
298,85539,Standard,Miami,Gila County,Area Code 928Area Code 520
299,85540,Standard,Morenci,Greenlee County,Area Code 928
300,85541,Standard,"Payson, Star Valley",Gila County,Area Code 928
301,85542,Standard,Peridot,Gila County,Area Code 928
302,85543,Standard,Pima,Graham County,Area Code 928
303,85544,Standard,"Pine, Strawberry",Gila County,Area Code 928
304,85545,Standard,Roosevelt,Gila County,Area Code 928
305,85546,Standard,Safford,Graham County,Area Code 928
306,85547,PO Box,Payson,Gila County,Area Code 928
307,85548,PO Box,Safford,Graham County,Area Code 928
308,85550,PO Box,San Carlos,Graham County,Area Code 928
309,85551,PO Box,Solomon,Graham County,Area Code 928
310,85552,Standard,Thatcher,Graham County,Area Code 928
311,85553,PO Box,Tonto Basin,Gila County,Area Code 928
312,85554,PO Box,Young,Gila County,Area Code 928
313,85601,PO Box,Arivaca,Pima County,Area Code 520
314,85602,Standard,"Benson, Mescal, Redington",Cochise County,Area Code 520
315,85603,Standard,Bisbee,Cochise County,Area Code 520
316,85605,PO Box,Bowie,Cochise County,Area Code 520
317,85606,Standard,Cochise,Cochise County,Area Code 520
318,85607,Standard,Douglas,Cochise County,Area Code 520
319,85608,PO Box,Douglas,Cochise County,Area Code 520
320,85609,PO Box,Dragoon,Cochise County,Area Code 520
321,85610,Standard,Elfrida,Cochise County,Area Code 520
322,85611,Standard,Elgin,Santa Cruz County,Area Code 520
323,85613,Standard,"Fort Huachuca, Sierra Vista",Cochise County,Area Code 520
324,85614,Standard,"Green Valley, Madera Canyon",Pima County,Area Code 520
325,85615,Standard,Hereford,Cochise County,Area Code 520
326,85616,Standard,Huachuca City,Cochise County,Area Code 520
327,85617,Standard,Mc Neal,Cochise County,Area Code 520
328,85618,PO Box,Mammoth,Pinal County,Area Code 520
329,85619,PO Box,Mount Lemmon,Pima County,Area Code 520
330,85620,PO Box,Naco,Cochise County,Area Code 520
331,85621,Standard,Nogales,Santa Cruz County,Area Code 520
332,85622,Standard,Green Valley,Pima County,Area Code 520
333,85623,Standard,Oracle,Pinal County,Area Code 520
334,85624,Standard,Patagonia,Santa Cruz County,Area Code 520
335,85625,Standard,"Pearce, Sunsites",Cochise County,Area Code 520
336,85626,PO Box,Pirtleville,Cochise County,Area Code 520
337,85627,PO Box,Pomerene,Cochise County,Area Code 520
338,85628,PO Box,Nogales,Santa Cruz County,Area Code 520
339,85629,Standard,Sahuarita,Pima County,Area Code 520
340,85630,Standard,Saint David,Cochise County,Area Code 520
341,85631,Standard,San Manuel,Pinal County,Area Code 520
342,85632,Standard,"San Simon, Portal",Cochise County,Area Code 520
343,85633,PO Box,Sasabe,Pima County,Area Code 520
344,85634,Standard,"Sells, Pisinemo",Pima County,Area Code 520
345,85635,Standard,Sierra Vista,Cochise County,Area Code 520
346,85636,PO Box,Sierra Vista,Cochise County,Area Code 520
347,85637,Standard,Sonoita,Santa Cruz County,
348,85638,Standard,Tombstone,Cochise County,Area Code 520
349,85639,PO Box,Topawa,Pima County,Area Code 520
350,85640,Standard,Tumacacori,Santa Cruz County,Area Code 520
351,85641,Standard,"Vail, Corona, Corona De Tuc, Corona De Tucson,...",Pima County,Area Code 520
352,85643,Standard,"Willcox, Ft Grant",Cochise County,Area Code 520
353,85644,PO Box,Willcox,Cochise County,Area Code 520
354,85645,Standard,Amado,Pima County,
355,85646,PO Box,Tubac,Santa Cruz County,Area Code 520
356,85648,Standard,"Rio Rico, Nogales",Santa Cruz County,Area Code 520
357,85650,Standard,Sierra Vista,Cochise County,Area Code 520
358,85652,PO Box,Cortaro,Pima County,Area Code 520
359,85653,Standard,Marana,Pima County,Area Code 520
360,85654,PO Box,Rillito,Pima County,Area Code 520
361,85655,PO Box,Douglas,Cochise County,Area Code 520
362,85658,Standard,Marana,Pima County,Area Code 520
363,85662,PO Box,Nogales,Santa Cruz County,Area Code 520
364,85670,PO Box,"Fort Huachuca, Sierra Vista",Cochise County,Area Code 520
365,85671,PO Box,Sierra Vista,Cochise County,Area Code 520
366,85701,Standard,Tucson,Pima County,Area Code 520Area Code 928
367,85702,PO Box,Tucson,Pima County,Area Code 520
368,85703,PO Box,Tucson,Pima County,Area Code 520
369,85704,Standard,"Tucson, Oro Valley",Pima County,Area Code 520
370,85705,Standard,Tucson,Pima County,Area Code 520
371,85706,Standard,Tucson,Pima County,Area Code 520
372,85707,PO Box,"Tucson, Davis Monthan AFB, Dm AFB",Pima County,Area Code 520
373,85708,Standard,Tucson,Pima County,Area Code 520
374,85709,Unique,Tucson,Pima County,Area Code 520
375,85710,Standard,Tucson,Pima County,Area Code 520
376,85711,Standard,Tucson,Pima County,Area Code 520
377,85712,Standard,Tucson,Pima County,Area Code 520
378,85713,Standard,"Tucson, South Tucson",Pima County,Area Code 520Area Code 928
379,85714,Standard,Tucson,Pima County,Area Code 520
380,85715,Standard,Tucson,Pima County,Area Code 520
381,85716,Standard,Tucson,Pima County,Area Code 520
382,85717,PO Box,Tucson,Pima County,Area Code 520
383,85718,Standard,Tucson,Pima County,Area Code 520
384,85719,Standard,Tucson,Pima County,Area Code 520Area Code 928
385,85720,PO Box,Tucson,Pima County,Area Code 520
386,85721,Unique,Tucson,Pima County,Area Code 520
387,85722,PO Box,Tucson,Pima County,Area Code 520
388,85723,Unique,Tucson,Pima County,Area Code 520
389,85724,Unique,Tucson,Pima County,Area Code 520
390,85725,PO Box,Tucson,Pima County,Area Code 520
391,85726,PO Box,Tucson,Pima County,Area Code 520
392,85728,PO Box,Tucson,Pima County,Area Code 520
393,85730,Standard,Tucson,Pima County,Area Code 520
394,85731,PO Box,Tucson,Pima County,Area Code 520
395,85732,PO Box,Tucson,Pima County,Area Code 520
396,85733,PO Box,Tucson,Pima County,Area Code 520
397,85734,PO Box,Tucson,Pima County,Area Code 520
398,85735,Standard,Tucson,Pima County,Area Code 520
399,85736,Standard,Tucson,Pima County,Area Code 520
400,85737,Standard,"Tucson, Oro Valley",Pima County,Area Code 520
401,85738,PO Box,"Catalina, Tucson",Pima County,Area Code 520
402,85739,Standard,"Tucson, Catalina, Saddlebrooke",Pinal County,Area Code 520
403,85740,PO Box,Tucson,Pima County,Area Code 520
404,85741,Standard,Tucson,Pima County,Area Code 520
405,85742,Standard,"Tucson, Oro Valley",Pima County,Area Code 520
406,85743,Standard,Tucson,Pima County,Area Code 520
407,85744,Unique,Tucson,Pima County,Area Code 520
408,85745,Standard,Tucson,Pima County,Area Code 520
409,85746,Standard,Tucson,Pima County,Area Code 520
410,85747,Standard,Tucson,Pima County,Area Code 520
411,85748,Standard,Tucson,Pima County,Area Code 520
412,85749,Standard,Tucson,Pima County,Area Code 520
413,85750,Standard,Tucson,Pima County,Area Code 520
