,zipcode,type,commoncity,county,areacode
112,71866,Standard,Winthrop,Little River County,Area Code 870
113,71901,Standard,"Hot Springs National Park, Fountain Lake, Hot Springs",Garland County,Area Code 501
114,71902,PO Box,"Hot Springs National Park, Hot Springs",Garland County,Area Code 501
115,71903,PO Box,"Hot Springs National Park, Hot Springs",Garland County,Area Code 501
116,71909,Standard,"Hot Springs Village, Hot Springs, Hot Springs National Park",Garland County,Area Code 501
117,71910,PO Box,"Hot Springs Village, Hot Springs, Hot Springs National Park",Saline County,Area Code 501
118,71913,Standard,"Hot Springs National Park, Hot Springs, Lake Hamilton",Garland County,Area Code 501
119,71914,PO Box,"Hot Springs National Park, Hot Springs",Garland County,Area Code 501
120,71920,Standard,Alpine,Clark County,Area Code 870
121,71921,Standard,"Amity, Alpine",Clark County,Area Code 870
122,71922,PO Box,Antoine,Pike County,Area Code 870
123,71923,Standard,"Arkadelphia, Caddo Valley",Clark County,Area Code 870
124,71929,Standard,Bismarck,Hot Spring County,Area Code 501
125,71932,PO Box,Board Camp,Polk County,
126,71933,Standard,Bonnerdale,Garland County,Area Code 501
127,71935,Standard,Caddo Gap,Montgomery County,Area Code 870
128,71937,Standard,"Cove, Hatton",Polk County,Area Code 870
129,71940,Standard,Delight,Pike County,Area Code 870
130,71941,Standard,Donaldson,Hot Spring County,Area Code 870Area Code 501
131,71942,PO Box,Friendship,Hot Spring County,Area Code 501
132,71943,Standard,Glenwood,Pike County,Area Code 870
133,71944,Standard,Grannis,Polk County,
134,71945,Standard,Hatfield,Polk County,Area Code 870
135,71949,Standard,"Jessieville, Buckville",Garland County,Area Code 501
136,71950,Standard,Kirby,Pike County,Area Code 870
137,71951,Standard,"Hot Springs National Park, Hot Springs",Garland County,Area Code 501
138,71952,Standard,Langley,Pike County,Area Code 870
139,71953,Standard,Mena,Polk County,Area Code 479
140,71956,Standard,Mountain Pine,Garland County,Area Code 501
141,71957,Standard,Mount Ida,Montgomery County,Area Code 870
142,71958,Standard,Murfreesboro,Pike County,Area Code 870
143,71959,Standard,Newhope,Pike County,Area Code 870
144,71960,Standard,Norman,Montgomery County,Area Code 870
145,71961,Standard,"Oden, Pine Ridge",Montgomery County,Area Code 870
146,71962,Standard,Okolona,Clark County,Area Code 870
147,71964,Standard,Pearcy,Garland County,Area Code 501
148,71965,Standard,Pencil Bluff,Montgomery County,Area Code 870
149,71966,PO Box,"Oden, Pine Ridge",Montgomery County,Area Code 870
150,71968,Standard,Royal,Garland County,Area Code 501
151,71969,Standard,Sims,Montgomery County,Area Code 870
152,71970,Standard,Story,Montgomery County,Area Code 870
153,71971,Standard,Umpire,Howard County,Area Code 870
154,71972,Standard,Vandervoort,Polk County,
155,71973,Standard,Wickes,Polk County,Area Code 870
156,71998,Unique,Arkadelphia,Clark County,Area Code 870
157,71999,Unique,Arkadelphia,Clark County,Area Code 870
158,72001,Standard,Adona,Perry County,Area Code 501
159,72002,Standard,Alexander,Saline County,Area Code 501
160,72003,Standard,Almyra,Arkansas County,Area Code 870
161,72004,Standard,Altheimer,Jefferson County,Area Code 870
162,72005,Standard,"Amagon, Balch",Jackson County,Area Code 870
163,72006,Standard,Augusta,Woodruff County,Area Code 870
164,72007,Standard,Austin,Lonoke County,
165,72010,Standard,Bald Knob,White County,Area Code 501
166,72011,Standard,Bauxite,Saline County,Area Code 501
167,72012,Standard,Beebe,White County,Area Code 501Area Code 870
168,72013,Standard,Bee Branch,Van Buren County,Area Code 501
169,72014,PO Box,Beedeville,Jackson County,
170,72015,Standard,"Benton, Bryant, Haskell, Tull",Saline County,Area Code 501
171,72016,Standard,Bigelow,Perry County,Area Code 501
172,72017,Standard,Biscoe,Prairie County,Area Code 870
173,72018,PO Box,Benton,Saline County,Area Code 501
174,72019,Standard,"Benton, Bryant",Saline County,Area Code 501
175,72020,Standard,Bradford,White County,Area Code 501
176,72021,Standard,Brinkley,Monroe County,Area Code 870
177,72022,Standard,"Bryant, Benton",Saline County,Area Code 501
178,72023,Standard,Cabot,Lonoke County,Area Code 501
179,72024,Standard,Carlisle,Lonoke County,Area Code 870
180,72025,Standard,Casa,Perry County,Area Code 501
181,72026,Standard,Casscoe,Arkansas County,Area Code 870
182,72027,Standard,Center Ridge,Conway County,Area Code 501
183,72028,PO Box,Choctaw,Van Buren County,Area Code 501
184,72029,Standard,Clarendon,Monroe County,Area Code 870
185,72030,Standard,Cleveland,Conway County,Area Code 501
186,72031,Standard,Clinton,Van Buren County,Area Code 501
187,72032,Standard,Conway,Faulkner County,Area Code 501
188,72033,PO Box,Conway,Faulkner County,Area Code 501
189,72034,Standard,Conway,Faulkner County,Area Code 501
190,72035,Unique,Conway,Faulkner County,Area Code 501
191,72036,Standard,Cotton Plant,Woodruff County,Area Code 870
192,72037,PO Box,Coy,Lonoke County,
193,72038,Standard,"Crocketts Bluff, Crocketts Blf",Arkansas County,Area Code 870
194,72039,Standard,"Damascus, Twin Groves",Faulkner County,Area Code 501
195,72040,Standard,Des Arc,Prairie County,Area Code 870
196,72041,Standard,"De Valls Bluff, De Valls Blf, Devalls Bluff",Prairie County,Area Code 870
197,72042,Standard,"De Witt, Dewitt",Arkansas County,Area Code 870
198,72043,PO Box,Diaz,Jackson County,
199,72044,Standard,Edgemont,Cleburne County,Area Code 870
200,72045,Standard,El Paso,White County,Area Code 501
201,72046,Standard,England,Lonoke County,Area Code 501
202,72047,Standard,Enola,Faulkner County,Area Code 501
203,72048,Standard,Ethel,Arkansas County,Area Code 870
204,72051,Standard,Fox,Stone County,Area Code 870
205,72052,PO Box,Garner,White County,Area Code 501
206,72053,PO Box,"College Station, College Sta",Pulaski County,Area Code 501
207,72055,Standard,Gillett,Arkansas County,Area Code 870
208,72057,Standard,Grapevine,Grant County,Area Code 870
209,72058,Standard,Greenbrier,Faulkner County,Area Code 501
210,72059,PO Box,Gregory,Woodruff County,Area Code 870
211,72060,Standard,Griffithville,White County,Area Code 501
212,72061,Standard,Guy,Faulkner County,Area Code 501
213,72063,Standard,Hattieville,Conway County,Area Code 501
214,72064,Standard,Hazen,Prairie County,Area Code 870
215,72065,Standard,Hensley,Saline County,Area Code 501
216,72066,PO Box,"Hickory Plains, Hickory Plns",Prairie County,Area Code 870
217,72067,Standard,"Higden, Greers Ferry",Cleburne County,Area Code 501
218,72068,Standard,Higginson,White County,Area Code 501
219,72069,Standard,Holly Grove,Monroe County,Area Code 870
220,72070,Standard,Houston,Perry County,Area Code 501
221,72072,Standard,Humnoke,Lonoke County,Area Code 501
222,72073,Standard,Humphrey,Arkansas County,Area Code 870
223,72074,PO Box,Hunter,Woodruff County,Area Code 870
224,72075,PO Box,Jacksonport,Jackson County,
225,72076,Standard,"Jacksonville, Gravel Ridge, Little Rock AFB, Lr AFB, L...",Pulaski County,Area Code 501
226,72078,PO Box,Jacksonville,Pulaski County,Area Code 501
227,72079,Standard,Jefferson,Jefferson County,
228,72080,Standard,Jerusalem,Conway County,Area Code 501
229,72081,Standard,"Judsonia, Steprock",White County,Area Code 501
230,72082,Standard,Kensett,White County,Area Code 501
231,72083,PO Box,Keo,Lonoke County,
232,72084,Standard,Leola,Grant County,Area Code 870
233,72085,PO Box,Letona,White County,Area Code 501
234,72086,Standard,Lonoke,Lonoke County,Area Code 501
235,72087,Standard,Lonsdale,Saline County,Area Code 501
236,72088,Standard,"Fairfield Bay, Shirley",Van Buren County,Area Code 501
237,72089,PO Box,Bryant,Saline County,Area Code 501
238,72099,Unique,"Little Rock Air Force Base, Jacksonville, Little Rock AFB, Lr AFB, L...",Pulaski County,Area Code 501
239,72101,Standard,"Mc Crory, Fair Oaks, Howell, Mccrory",Woodruff County,Area Code 870
240,72102,Standard,Mc Rae,White County,Area Code 870Area Code 501
241,72103,Standard,"Mabelvale, Shannon Hills",Saline County,Area Code 501
242,72104,Standard,"Malvern, Rockport",Hot Spring County,Area Code 501
243,72105,PO Box,"Jones Mill, Malvern",Hot Spring County,Area Code 501
244,72106,Standard,Mayflower,Faulkner County,Area Code 501
245,72107,PO Box,Menifee,Conway County,Area Code 501
246,72108,PO Box,Monroe,Monroe County,Area Code 870
247,72110,Standard,"Morrilton, Oppelo",Conway County,Area Code 501
248,72111,Standard,Mount Vernon,Faulkner County,Area Code 501
249,72112,Standard,Newport,Jackson County,Area Code 870
250,72113,Standard,"Maumelle, N Little Rock, North Little Rock",Pulaski County,Area Code 501
251,72114,Standard,"North Little Rock, N Little Rock",Pulaski County,Area Code 501
252,72115,PO Box,"North Little Rock, N Little Rock",Pulaski County,Area Code 501
253,72116,Standard,"North Little Rock, N Little Rock",Pulaski County,Area Code 501
254,72117,Standard,"North Little Rock, N Little Rock",Pulaski County,Area Code 501
255,72118,Standard,"North Little Rock, N Little Rock",Pulaski County,Area Code 501
256,72119,PO Box,"North Little Rock, N Little Rock",Pulaski County,Area Code 501
257,72120,Standard,"Sherwood, N Little Rock, North Little Rock",Pulaski County,
258,72121,Standard,Pangburn,White County,Area Code 501
259,72122,Standard,Paron,Saline County,Area Code 501
260,72123,PO Box,Patterson,Woodruff County,Area Code 870
261,72124,PO Box,"North Little Rock, N Little Rock, Sherwood",Pulaski County,Area Code 501
262,72125,Standard,Perry,Perry County,Area Code 501
263,72126,Standard,Perryville,Perry County,Area Code 501
264,72127,Standard,Plumerville,Conway County,Area Code 501
265,72128,Standard,Poyen,Grant County,Area Code 870
266,72129,Standard,Prattsville,Grant County,Area Code 870
267,72130,Standard,Prim,Cleburne County,Area Code 870
268,72131,Standard,Quitman,Cleburne County,Area Code 501
269,72132,Standard,Redfield,Jefferson County,Area Code 501
270,72133,PO Box,Reydell,Jefferson County,
271,72134,Standard,Roe,Monroe County,Area Code 870
272,72135,Standard,Roland,Pulaski County,Area Code 501
273,72136,Standard,Romance,White County,Area Code 501
274,72137,Standard,Rose Bud,White County,Area Code 501
275,72139,PO Box,Russell,White County,Area Code 501
276,72140,Standard,Saint Charles,Arkansas County,Area Code 870
277,72141,Standard,Scotland,Van Buren County,Area Code 501
278,72142,Standard,Scott,Lonoke County,Area Code 501
279,72143,Standard,"Searcy, Georgetown",White County,Area Code 501
280,72145,PO Box,Searcy,White County,Area Code 501
281,72149,Unique,Searcy,White County,Area Code 501
282,72150,Standard,Sheridan,Grant County,Area Code 870
283,72152,Standard,Sherrill,Jefferson County,Area Code 870
284,72153,Standard,Shirley,Van Buren County,Area Code 501
285,72156,Standard,Solgohachia,Conway County,Area Code 501
286,72157,Standard,Springfield,Conway County,Area Code 501
