,zipcode,type,commoncity,county,areacode
112,99650,PO Box,Pilot Station,Wade Hampton Census Area,Area Code 907
113,99651,PO Box,Platinum,Bethel Census Area,Area Code 907
114,99652,PO Box,"Big Lake, Wasilla",Matanuska-Susitna Borough,Area Code 907
115,99653,PO Box,Port Alsworth,Lake and Peninsula Borough,Area Code 907
116,99654,Standard,Wasilla,Matanuska-Susitna Borough,Area Code 907
117,99655,PO Box,Quinhagak,Bethel Census Area,Area Code 907
118,99656,PO Box,Red Devil,Bethel Census Area,Area Code 907
119,99657,PO Box,"Russian Mission, Russian Msn",Wade Hampton Census Area,Area Code 907
120,99658,PO Box,Saint Marys,Wade Hampton Census Area,Area Code 907
121,99659,PO Box,Saint Michael,Nome Census Area,Area Code 907
122,99660,PO Box,"Saint Paul Island, Saint Paul, St Paul, St Paul Isle",Aleutians West Census Area,Area Code 907
123,99661,PO Box,Sand Point,Aleutians East Borough,Area Code 907
124,99662,PO Box,Scammon Bay,Wade Hampton Census Area,Area Code 907
125,99663,PO Box,Seldovia,Kenai Peninsula Borough,Area Code 907
126,99664,Standard,Seward,Kenai Peninsula Borough,Area Code 907
127,99665,PO Box,Shageluk,Yukon-Koyukuk Census Area,Area Code 907
128,99666,PO Box,Nunam Iqua,Wade Hampton Census Area,Area Code 907
129,99667,PO Box,Skwentna,Matanuska-Susitna Borough,Area Code 907
130,99668,PO Box,Sleetmute,Bethel Census Area,Area Code 907
131,99669,Standard,Soldotna,Kenai Peninsula Borough,Area Code 907
132,99670,PO Box,South Naknek,Bristol Bay Borough,Area Code 907
133,99671,PO Box,Stebbins,Nome Census Area,Area Code 907
134,99672,Standard,Sterling,Kenai Peninsula Borough,Area Code 907
135,99674,Standard,"Sutton, Chickaloon",Matanuska-Susitna Borough,Area Code 907
136,99675,PO Box,"Takotna, Mc Grath",Yukon-Koyukuk Census Area,Area Code 907
137,99676,Standard,Talkeetna,Matanuska-Susitna Borough,Area Code 907
138,99677,PO Box,"Tatitlek, Cordova",Valdez-Cordova Census Area,Area Code 907
139,99678,PO Box,Togiak,Dillingham Census Area,Area Code 907
140,99679,PO Box,"Tuluksak, Bethel",Bethel Census Area,Area Code 907
141,99680,PO Box,"Tuntutuliak, Bethel",Bethel Census Area,Area Code 907
142,99681,PO Box,Tununak,Bethel Census Area,Area Code 907
143,99682,PO Box,Tyonek,Kenai Peninsula Borough,Area Code 907
144,99683,PO Box,"Trapper Creek, Willow",Matanuska-Susitna Borough,Area Code 907
145,99684,PO Box,Unalakleet,Nome Census Area,Area Code 907
146,99685,PO Box,Unalaska,Aleutians West Census Area,Area Code 907
147,99686,Standard,Valdez,Valdez-Cordova Census Area,Area Code 907
148,99687,PO Box,Wasilla,Matanuska-Susitna Borough,Area Code 907
149,99688,Standard,Willow,Matanuska-Susitna Borough,Area Code 907
150,99689,PO Box,Yakutat,Yakutat City and Borough,Area Code 907
151,99690,PO Box,"Nightmute, Bethel",Bethel Census Area,Area Code 907
152,99691,PO Box,"Nikolai, Mc Grath",Yukon-Koyukuk Census Area,Area Code 907
153,99692,PO Box,"Dutch Harbor, Unalaska",Aleutians West Census Area,Area Code 907
154,99693,PO Box,"Whittier, Girdwood",Valdez-Cordova Census Area,Area Code 907
155,99694,PO Box,Houston,Matanuska-Susitna Borough,Area Code 907
156,99695,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
157,99697,PO Box,Kodiak,Kodiak Island Borough,Area Code 907
158,99701,Standard,Fairbanks,Fairbanks North Star Borough,Area Code 907
159,99702,Standard,"Eielson AFB, Fairbanks",Fairbanks North Star Borough,Area Code 907
160,99703,Standard,"Fort Wainwright, Ft Wainwright",Fairbanks North Star Borough,Area Code 907
161,99704,Standard,"Clear, Nenana",Denali Borough,Area Code 907
162,99705,Standard,"North Pole, Fairbanks",Fairbanks North Star Borough,Area Code 907
163,99706,PO Box,Fairbanks,Southeast Fairbanks Census Area,Area Code 907
164,99707,PO Box,Fairbanks,Fairbanks North Star Borough,Area Code 907
165,99708,PO Box,Fairbanks,Fairbanks North Star Borough,Area Code 907
166,99709,Standard,Fairbanks,Fairbanks North Star Borough,Area Code 907
