,zipcode,type,commoncity,county,areacode
104,35179,Standard,"Vinemont, S Vinemont, South Vinemont, West Point",Cullman County,Area Code 256
105,35180,Standard,Warrior,Jefferson County,Area Code 205
106,35181,PO Box,Watson,Jefferson County,Area Code 205
107,35182,PO Box,Wattsville,St Clair County,
108,35183,Standard,Weogufka,Coosa County,
109,35184,Standard,West Blocton,Bibb County,Area Code 205
110,35185,PO Box,Westover,Shelby County,Area Code 205
111,35186,Standard,Wilsonville,Shelby County,Area Code 205
112,35187,PO Box,Wilton,Shelby County,Area Code 205
113,35188,Standard,Woodstock,Bibb County,Area Code 205
114,35201,PO Box,Birmingham,Jefferson County,Area Code 205
115,35202,PO Box,Birmingham,Jefferson County,Area Code 205
116,35203,Standard,Birmingham,Jefferson County,Area Code 205
117,35204,Standard,Birmingham,Jefferson County,Area Code 205
118,35205,Standard,Birmingham,Jefferson County,Area Code 205
119,35206,Standard,Birmingham,Jefferson County,Area Code 205
120,35207,Standard,Birmingham,Jefferson County,Area Code 205
121,35208,Standard,Birmingham,Jefferson County,Area Code 205
122,35209,Standard,"Birmingham, Homewood, Mountain Brk",Jefferson County,Area Code 205
123,35210,Standard,"Birmingham, Irondale, Mountain Brk",Jefferson County,Area Code 205
124,35211,Standard,Birmingham,Jefferson County,Area Code 205
125,35212,Standard,Birmingham,Jefferson County,Area Code 205
126,35213,Standard,"Birmingham, Crestline Heights, Crestline Hts, Mounta...",Jefferson County,Area Code 205
127,35214,Standard,"Birmingham, Forestdale",Jefferson County,Area Code 205
128,35215,Standard,"Birmingham, Center Point",Jefferson County,Area Code 205
129,35216,Standard,"Birmingham, Hoover, Mountain Brk, Vestavia, Vestavia...",Jefferson County,Area Code 205
130,35217,Standard,"Birmingham, Tarrant",Jefferson County,Area Code 205
131,35218,Standard,"Birmingham, Ensley",Jefferson County,Area Code 205
132,35219,PO Box,"Birmingham, Homewood, Mountain Brk",Jefferson County,Area Code 205
133,35220,PO Box,"Birmingham, Center Point",Jefferson County,Area Code 205
134,35221,Standard,Birmingham,Jefferson County,Area Code 205
135,35222,Standard,"Birmingham, Hoover",Jefferson County,Area Code 205
136,35223,Standard,"Birmingham, Mountain Brk, Mountain Brook, Vestavia",Jefferson County,Area Code 205
137,35224,Standard,Birmingham,Jefferson County,Area Code 205
138,35225,Unique,Birmingham,Jefferson County,Area Code 205
139,35226,Standard,"Birmingham, Bluff Park, Hoover, Vestavia, Vestavia H...",Jefferson County,Area Code 205
140,35228,Standard,"Birmingham, Midfield",Jefferson County,Area Code 205
141,35229,Unique,Birmingham,Jefferson County,Area Code 205
142,35230,Unique,Birmingham,Jefferson County,Area Code 205
143,35231,PO Box,Birmingham,Jefferson County,Area Code 205
144,35232,PO Box,Birmingham,Jefferson County,Area Code 205
145,35233,Standard,Birmingham,Jefferson County,Area Code 205
146,35234,Standard,Birmingham,Jefferson County,Area Code 205
147,35235,Standard,"Birmingham, Center Point",Jefferson County,Area Code 205
148,35236,PO Box,"Birmingham, Hoover",Jefferson County,Area Code 205
149,35237,PO Box,Birmingham,Jefferson County,Area Code 205
150,35238,PO Box,Birmingham,Jefferson County,Area Code 205
151,35240,Unique,Birmingham,Jefferson County,Area Code 205
152,35242,Standard,"Birmingham, Hoover, Meadowbrook, Shoal Creek, Vestav...",Shelby County,Area Code 205
153,35243,Standard,"Birmingham, Cahaba Heights, Cahaba Hts, Mountain Brk...",Jefferson County,Area Code 205
154,35244,Standard,"Birmingham, Bluff Park, Hoover",Jefferson County,Area Code 205
155,35245,Unique,Birmingham,Jefferson County,Area Code 205
156,35246,Unique,Birmingham,Jefferson County,Area Code 205
157,35249,Unique,Birmingham,Jefferson County,Area Code 205
158,35253,PO Box,"Birmingham, Mountain Brk, Mountain Brook",Jefferson County,Area Code 205
159,35254,Unique,Birmingham,Jefferson County,Area Code 205
160,35255,PO Box,Birmingham,Jefferson County,Area Code 205
161,35259,PO Box,"Birmingham, Homewood, Mountain Brk",Jefferson County,Area Code 205
162,35260,PO Box,Birmingham,Jefferson County,Area Code 205
163,35261,PO Box,Birmingham,Jefferson County,Area Code 205
164,35263,Unique,Birmingham,Jefferson County,Area Code 205
165,35266,PO Box,"Birmingham, Mountain Brk, Vestavia, Vestavia Hills, ...",Jefferson County,Area Code 205
166,35270,Unique,Birmingham,,
167,35277,Unique,Birmingham,Jefferson County,Area Code 205
168,35278,Unique,Birmingham,Jefferson County,Area Code 205
169,35279,Unique,Birmingham,Jefferson County,Area Code 205
170,35280,Unique,Birmingham,Jefferson County,Area Code 205
171,35281,Unique,Birmingham,Jefferson County,Area Code 205
172,35282,Unique,Birmingham,Jefferson County,Area Code 205
173,35283,PO Box,Birmingham,Jefferson County,Area Code 205
174,35285,Unique,Birmingham,Jefferson County,Area Code 205
175,35286,Unique,Birmingham,Jefferson County,Area Code 205
176,35287,Unique,Birmingham,Jefferson County,Area Code 205
177,35288,Unique,Birmingham,Jefferson County,Area Code 205
178,35289,Unique,Birmingham,Jefferson County,Area Code 205
179,35290,Unique,Birmingham,Jefferson County,Area Code 205
180,35291,Unique,Birmingham,Jefferson County,Area Code 205
181,35292,Unique,Birmingham,Jefferson County,Area Code 205
182,35293,Unique,Birmingham,Jefferson County,Area Code 205
183,35294,Unique,Birmingham,Jefferson County,Area Code 205
184,35295,Unique,Birmingham,Jefferson County,Area Code 205
185,35296,Unique,Birmingham,Jefferson County,Area Code 205
186,35297,Unique,Birmingham,Jefferson County,Area Code 205
187,35298,Unique,Birmingham,Jefferson County,Area Code 205
188,35299,Unique,Birmingham,Jefferson County,Area Code 205
189,35401,Standard,Tuscaloosa,Tuscaloosa County,Area Code 205
190,35402,PO Box,Tuscaloosa,Tuscaloosa County,Area Code 205
191,35403,PO Box,Tuscaloosa,Tuscaloosa County,Area Code 205
192,35404,Standard,Tuscaloosa,Tuscaloosa County,Area Code 205
193,35405,Standard,Tuscaloosa,Tuscaloosa County,Area Code 205
194,35406,Standard,Tuscaloosa,Tuscaloosa County,Area Code 205
195,35407,PO Box,Tuscaloosa,Tuscaloosa County,Area Code 205
196,35440,PO Box,Abernant,Tuscaloosa County,Area Code 205
197,35441,Standard,"Akron, Stewart",Hale County,Area Code 205
198,35442,Standard,"Aliceville, Mcmullen, Old Memphis",Pickens County,Area Code 205
199,35443,Standard,Boligee,Greene County,Area Code 205
200,35444,Standard,Brookwood,Tuscaloosa County,
201,35446,Standard,Buhl,Tuscaloosa County,Area Code 205
202,35447,Standard,"Carrollton, Pickensville",Pickens County,Area Code 205
203,35448,PO Box,Clinton,Greene County,Area Code 205
204,35449,PO Box,Coaling,Tuscaloosa County,Area Code 205
205,35452,Standard,Coker,Tuscaloosa County,Area Code 205
206,35453,Standard,"Cottondale, Coaling",Tuscaloosa County,Area Code 205
207,35456,Standard,Duncanville,Tuscaloosa County,Area Code 205
208,35457,Standard,Echola,Tuscaloosa County,Area Code 205
209,35458,Standard,Elrod,Tuscaloosa County,Area Code 205
210,35459,Standard,Emelle,Sumter County,Area Code 205
211,35460,Standard,Epes,Sumter County,Area Code 205
212,35461,Standard,Ethelsville,Pickens County,Area Code 205
213,35462,Standard,"Eutaw, Union",Greene County,Area Code 205
214,35463,Standard,Fosters,Tuscaloosa County,Area Code 205
215,35464,Standard,Gainesville,Sumter County,Area Code 205
216,35466,Standard,Gordo,Pickens County,Area Code 205
